,rewarded,not-rewarded
0,8979,2828
1,1122,7126
2,8979,1414
3,4489,891
4,2828,14254
5,3563,891
6,1781,11313
7,1781,561
8,14254,2828
9,7126,891
10,5656,1414
11,11313,2828
12,561,2828
13,3563,561
14,8979,2828
15,4489,891
16,11313,1781
17,5656,891
18,707,4489
19,5656,1122
20,2244,8979
21,3563,14254
22,2244,707
23,561,3563
24,11313,3563
25,11313,2244
26,3563,14254
27,5656,1781
28,891,3563
29,1781,5656
30,1414,4489
31,1122,4489
32,2244,8979
33,2828,8979
34,5656,1122
35,14254,3563
36,2244,7126
37,707,3563
38,1122,3563
39,4489,1414
40,14254,4489
41,561,2244
42,4489,707
43,5656,1781
44,5656,1414
45,1781,11313
46,3563,1122
47,7126,1414
48,7126,891
49,891,5656
